Issue,Volume,title,authors,views,citations
449,95,Statisticians' Significance,Jonas H. Ellenberg Vice President and Senior Biostatistician,114,1
449,95,Functional Components of Variation in Handwriting,J. O. Ramsay,126,23
449,95,"Transitional Regression Models, with Application to Environmental Time Series","Babette A. Brumback, Louise M. Ryan, Joel D. Schwartz, Lucas M. Neas, Paul C. Stark & Harriet A. Burge",227,44
449,95,Genetic Susceptibility and Survival: Application to Breast Cancer,"Edwin S. Iversen Jr., Giovanni Parmigiani, Donald A. Berry & Joellen M. Schildkraut",78,4
449,95,"Analyzing a Randomized Cancer Prevention Trial with a Missing Binary Outcome, an Auxiliary Variable, and All-or-None Compliance",Stuart G. Baker,53,9
449,95,Estimation and Inference for Logistic Regression with Covariate Misclassification and Measurement Error in Main Study/Validation Study Designs,"Donna Spiegelman, Bernard Rosner & Roger Logan",177,21
449,95,Model Selection and Semiparametric Inference for Bivariate Failure-Time Data,Weijing Wang & Martin T. Wells,227,53
449,95,Comment,Edsel A. Peña,25,0
449,95,Rejoinder,Weijing Wang & Martin T. Wells,25,0
449,95,Nonparametric Analysis of Randomized Experiments with Missing Covariate and Outcome Data,Joel L. Horowitz & Charles F. Manski,328,49
449,95,Comment,T. E. Raghunathan,46,0
449,95,Rejoinder,Joel L. Horowitz & Charles F. Manski,43,0
449,95,A Nonparametric “Trim and Fill” Method of Accounting for Publication Bias in Meta-Analysis,Sue Duval & Richard Tweedie,613,70
449,95,Efficient Monte Carlo Methods for Conditional Logistic Regression,"Cyrus R. Mehta, Nitin R. Patel & Pralay Senchaudhuri",160,18
449,95,Estimation of Discrete Distributions with a Class of Simplex Constraints,Chuanhai Liu,62,3
449,95,The Multiple-Try Method and Local Optimization in Metropolis Sampling,"Jun S. Liu, Faming Liang & Wing Hung Wong",363,73
449,95,Safe and Effective Importance Sampling,Art Owen & Yi Zhou Associate,430,74
449,95,Inference with Imputed Conditional Means,Joseph L. Schafer & Nathaniel Schenker,99,18
449,95,React Scatterplot Smoothers: Superefficiency through Basis Economy,Rudolf Beran,49,4
449,95,Extending the Scope of Wavelet Regression Methods by Coefficient-Dependent Thresholding,Arne Kovac & Bernard W. Silverman,88,22
449,95,Statistical Properties and Uses of the Wavelet Variance Estimator for the Scale Analysis of Time Series,"A. Serroukh, A. T. Walden & D. B. Percival",137,32
449,95,Window Subsampling of Estimating Functions with Application to Regression Models,Patrick J. Heagerty & Thomas Lumley,95,27
449,95,Asymptotics for Analysis of Variance When the Number of Levels is Large,Michael Akritas & Steven Arnold,54,16
449,95,Reference Bayesian Methods for Generalized Linear Mixed Models,Ranjini Natarajan & Robert E. Kass,271,47
449,95,Additive Hazards Regression with Covariate Measurement Error,Michal Kulich & D. Y. Lin,91,22
449,95,A Class of Weighted Log-Rank Tests for Survival Data When the Event is Rare,"Steven Buyske, Richard Fagerstrom & Zhiliang Ying",61,10
449,95,"A Minimum Description Length-Based Image Segmentation Procedure, and its Comparison with a Cross-Validation-Based Segmentation Procedure",Thomas C. M. Lee,66,6
449,95,Inference from Dual Frame Surveys,Sharon L. Lohr & J. N. K. Rao,155,17
449,95,Statistics in the Year 2000: Vignettes,"Adrian E. Raftery, Martin A. Tanner & Martin T. Wells",49,1
449,95,Statistics in the Life and Medical Sciences,Norman E. Breslow,52,1
449,95,Survival Analysis,David Oakes,115,5
449,95,Causal Analysis in the Health Sciences,Sander Greenland,148,0
449,95,Environmental Statistics,Peter Guttorp,58,3
449,95,Capture-Recapture Models,Kenneth H. Pollock,254,27
449,95,Statistics in Animal Breeding,Daniel Gianola,96,1
449,95,Some Issues in Assessing Human Fertility,Clarice R. Weinberg & David B. Dunson,54,7
449,95,Statistical Issues in Toxicology,Louise M. Ryan,51,8
449,95,Receiver Operating Characteristic Methodology,Margaret Sullivan Pepe,272,41
449,95,The Randomized Clinical Trial,David P. Harrington,72,5
449,95,Some Contributions of Statistics to Environmental Epidemiology,Duncan C. Thomas,35,4
449,95,Challenges Facing Statistical Genetics,B. S. Weir,46,0
449,95,Computational Molecular Biology,Wing Hung Wong,59,1
449,95,Book Reviews,,72,0
449,95,Telegraphic Reviews,,25,0
449,95,Editorial Board Page,,29,0
448,94,Assessment of the Safety and Efficacy Data for the Hypnotic Halcion(R): Results of an Analysis by an Institute of Medicine Committee,"Robert D. Gibbons, Byron W. M. Brown, Daniel L. Azarnoff, William E. Bunney, Robert Cancro, John C. Gillin, Sandra Hullett, Keith F. Killam, John H. Krystal, David J. Kupfer, Paul D. Stolley, Andrew M. Pope & Geoffrey S. French",37,0
448,94,Multicriterion Decision Merging: Competitive Development of an Aboriginal Whaling Management Procedure,Geof H. Givens,44,2
448,94,Modeling Epidemiologic Typing Data and Likelihood Inference for Disease Spread,Beverly G. Mellen,34,0
448,94,A Method-of-Moments Estimation Procedure for Categorical Quality-of-Life Data with Nonignorable Missingness,"Marco Bonetti, Bernard F. Cole & Richard D. Gelber",45,1
448,94,Comparison of Partially Measured Latent Traits across Nominal Subgroups,Jon D. Cohen & Tao Jiang,33,7
448,94,An Evaluation of California's Inmate Classification System Using a Generalized Regression Discontinuity Design,Richard A. Berk & Jan de Leeuw,230,0
448,94,Causal Effects in Nonexperimental Studies: Reevaluating the Evaluation of Training Programs,Rajeev H. Dehejia & Sadek Wahba,2109,493
448,94,Account-Level Modeling for Trade Promotion: An Application of a Constrained Parameter Hierarchical Model,"Peter Boatwright, Robert McCulloch & Peter Rossi",128,27
448,94,Hierarchical Bayes Estimation of Unemployment Rates for the States of the U.S.,"G. S. Datta, P. Lahiri, T. Maiti & K. L. Lu",125,26
448,94,Evaluation and Comparison of EEG Traces: Latent Structure in Nonstationary Time Series,"Mike West, Raquel Prado & Andrew D. Krystal",47,15
448,94,Adjusting for Nonignorable Drop-Out Using Semiparametric Nonresponse Models,"Daniel O. Scharfstein, Andrea Rotnitzky & James M. Robins",383,191
448,94,Comment,D. A. Freedman,40,1
448,94,Comment,Jianqing Fan & Chunming Zhang,35,1
448,94,Comment,Mark van der Laan,36,0
448,94,Comment,Peter J. Diggle,37,0
448,94,Comment,Roderick J. Little & Donald B. Rubin,48,1
448,94,Comment,Nan M. Laird & Donna K. Pauler,36,0
448,94,Rejoinder,"Daniel O. Scharfstein, Andrea Rotnitzky & James M. Robins",83,4
448,94,A Weighted Estimating Equation for Missing Covariate Data with Properties Similar to Maximum Likelihood,"Stuart R. Lipsitz, Joseph G. Ibrahim & Lue Ping Zhao",166,25
448,94,Association-Marginal Modeling of Multivariate Categorical Responses: A Maximum Likelihood Approach,"Joseph B. Lang, DR John W. McDonald & DR Peter W. F. Smith",53,10
448,94,A New Skewed Link Model for Dichotomous Quantal Response Data,"Ming-Hui Chen, Dipak K. Dey & Qi-Man Shao",148,23
448,94,Dimension Reduction in Binary Response Regression,R. Dennis Cook & Hakbae Lee,175,33
448,94,Hypothesis Testing in Time Series via the Empirical Characteristic Function: A Generalized Spectral Density Approach,Yongmiao Hong,187,42
448,94,Conditional Regression Analysis for Recurrence Time Data,Shu-Hui Chang & Mei-Cheng Wang,88,19
448,94,An Improved Estimator of the Density Function at the Boundary,"S. Zhang, R. J. Karunamuni & M. C. Jones",105,15
448,94,Bayes Factors and Approximations for Variance Component Models,"Donna K. Pauler, Jonathan C. Wakefield & Robert E. Kass",119,24
448,94,Nonconjugate Bayesian Estimation of Covariance Matrices and its Use in Hierarchical Models,Michael J. Daniels & Robert E. Kass,303,53
448,94,Parameter Expansion for Data Augmentation,Jun S. Liu & Ying Nian Wu,214,66
448,94,On Single-Index Coefficient Regression Models,Yingcun Xia & W. K. Li,265,39
448,94,"Regression Analysis, Nonlinear or Nonnormal: Simple and Accurate p Values from Likelihood Analysis","D. A. S. Fraser, Augustine Wong & Jianrong Wu Ph.D.",210,7
448,94,Goodness of Fit and Related Inference Processes for Quantile Regression,Roger Koenker & José A. F. Machado,1034,259
448,94,1 — α Equivariant Confidence Rules for Convex Alternatives are α/2–Level Tests—With Applications to the Multivariate Assessment of Bioequivalence,Axel Munk & Rafael Pflüger,55,4
