Issue,Volume,title,authors,views,citations
160,22,The “Total Value Criterion”: A New Principle in Index Number Construction,Irving Fisher,12,0
160,22,Forecasting the Volume and Value of the Cotton Crop,Bradford Bixby Smith,9,3
160,22,On a Limitation in the Applicability of the Contingency Coefficient,J. Arthur Harris & Alan E. Treloar,9,6
160,22,Bar Charts versus Circle Diagrams,Frederick E. Croxton & Roy E. Stryker,24,17
160,22,The Validity of Correlation in Time Sequences and a New Coefficient of Similarity,O. Gressens & E. D. Mouzon Jr.,11,5
160,22,Adjustments for the Influence of Easter in Department Stores Sales,Aryness Joy & Woodlief Thomas,10,1
160,22,The Doolittle Method for Solving Multiple Correlation Equations versus the Kelley-Salisbury “Iteration” Method,H. R. Tolley & Mordecai Ezekiel,10,1
160,22,The Determination of the Mean Deviation for Graded Data,Margaret H. Hogg,11,0
160,22,Forecasting a Line by Itself,H. D. Comer & Ralph J. Watkins,8,0
160,22,The Social Science Research Council Fellowship Appointments,,9,0
160,22,Recent Developments in the Bureau of Labor Statistics,Ethelbert Stewart,9,0
160,22,Statistical Developments in China,,10,0
160,22,Answer to the Review of “Rent Levels and Their Causes”,J. M. Gillman,9,0
160,22,Reviews,,10,0
159,22,An Index of Consumption of Fuels and Water Power,F. G. Tryon,14,2
159,22,"Differential Equations Subject to Error, and Population Estimates",Harold Hotelling,15,14
159,22,Construction of an Index Number of Production,Woodlief Thomas,9,0
159,22,A Study of Spurious Correlation,M. R. Neifeld,17,1
159,22,Methods of Computing Seasonal Indexes: Constant and Progressive,F. L. Carmichael,12,2
159,22,The New Organization of the Statistical Services in Italy,L. Galvani,9,0
159,22,Ratio of Wages to Value Added by Manufacturing Processes in Massachusetts and the United States,M. Estelle Moulton & Raymond E. Pannier,9,0
159,22,Karsten's Interpretation of the Harvard Business Indexes,Alvin H. Hansen,9,1
159,22,The Growth Curve,George R. Davies,11,0
159,22,A Weekly Index of Distribution,D. C. Elliott,9,0
159,22,Reviews,,9,0
158,22,Wealth Distribution in the Continental United States at the Close of 1921,Willford I. King,14,4
158,22,The Size of American Families in the Eighteenth Century,Alfred J. Lotka,12,0
158,22,Price Index of the National Bank of Commerce in New York,E. M. Miller & F. J. Cavanaugh,9,0
158,22,A Measure of Stability with a Discussion of Certain of its Implications,Harry Sylvester Will,10,0
158,22,Factors Affecting Changes in Short Term Interest Rates,W. Randolph Burgess,9,0
158,22,Analysis of a U-Shaped Frequency Distribution,Paul R. Rider,14,3
158,22,"Probable Inference, the Law of Succession, and Statistical Inference",Edwin B. Wilson,146,827
158,22,Measurement of Variations in Seasonal Distribution,J. C. Clendenin,10,2
158,22,Report to Date of the Weekly Index Number,Irving Fisher,9,0
158,22,Classification of Members of American Statistical Association on Basis of Duties and Interests,Willford I. King,10,0
158,22,Answer to the Review of “American Villagers”,C. Luther Fry,9,0
158,22,Comment on the Review of “Business Annals”,Willard L. Thorp,9,0
158,22,A Retraction,C. H. Whelden Jr.,48,0
158,22,An Addition to the New Composite Index of Wages in the United States,,9,0
158,22,Reviews,,9,0
157,22,The Dilemma of the New Statistics,Leonard P. Ayres,10,2
157,22,The Competitive Factor in Skewness,Howard J. Banker,9,0
