Issue,Volume,title,authors,views,citations
499,107,Bayesian Spatio-Dynamic Modeling in Cell Motility Studies: Learning Nonlinear Taxic Fields Guiding the Immune Response,"Ioanna Manolopoulou, Melanie P. Matheu, Michael D. Cahalan, Mike West & Thomas B. Kepler",871,2
499,107,Comment: Cell Motility Models and Inference for Dynamic Systems,Edward L. Ionides,282,0
499,107,Comment,Samuel Kou,201,0
499,107,Comment on the Mechanistic Modeling and Inference for Cell Motility by Manolopoulou et al.,"Le Bao, John Fricks & Murali Haran",173,0
499,107,Rejoinder,"Ioanna Manolopoulou, Melanie P. Matheu, Michael D. Cahalan, Mike West & Thomas B. Kepler",241,0
499,107,Multilevel Bayesian Models for Survival Times and Longitudinal Patient-Reported Outcomes With Many Zeros,"Laura A. Hatfield, Mark E. Boye, Michelle D. Hackshaw & Bradley P. Carlin",703,19
499,107,Structural Nested Cumulative Failure Time Models to Estimate the Effects of Interventions,"Sally Picciotto, Miguel A. Hernán, John H. Page, Jessica G. Young & James M. Robins",615,7
499,107,Contrasting Evidence Within and Between Institutions That Provide Treatment in an Observational Study of Alternate Forms of Anesthesia,"José R. Zubizarreta, Mark Neuman, Jeffrey H. Silber & Paul R. Rosenbaum",342,3
499,107,A Multiscale Community Blockmodel for Network Exploration,"Qirong Ho, Ankur P. Parikh & Eric P. Xing",745,3
499,107,Searching for Alternative Splicing With a Joint Model on Probe Measurability and Expression Intensities,Jianhua Hu & Xuming He,342,1
499,107,"Composite Partial Likelihood Estimation Under Length-Biased Sampling, With Application to a Prevalent Cohort Study of Dementia",Chiung-yu Huang & Jing Qin,660,15
499,107,Identifying the Effects of SNAP (Food Stamps) on Child Health Outcomes When Participation Is Endogenous and Misreported,"Brent Kreider, John V. Pepper, Craig Gundersen & Dean Jolliffe",1596,68
499,107,Modeling of Multivariate Monotone Disease Processes in the Presence of Misclassification,"María José García-Zattera, Alejandro Jara, Emmanuel Lesaffre & Guillermo Marshall",349,2
499,107,A Class of Discrete Transformation Survival Models With Application to Default Probability Prediction,"A. Adam Ding, Shaonan Tian, Yan Yu & Hui Guo",564,6
499,107,Spatial Statistical Data Fusion for Remote Sensing Applications,"Hai Nguyen, Noel Cressie & Amy Braverman",1006,31
499,107,Estimating False Discovery Proportion Under Arbitrary Covariance Dependence,"Jianqing Fan, Xu Han & Weijie Gu",1419,35
499,107,Comment,Larry Wasserman,669,0
499,107,Comment: Robustness to Assumption of Normally Distributed Errors,Aurore Delaigle & Peter Hall,568,0
499,107,Comment: FDP vs FDR and the Effect of Conditioning,Armin Schwartzman,473,0
499,107,Comment,Jiashun Jin,424,0
499,107,Rejoinder,"Jianqing Fan, Xu Han & Weijie Gu",570,0
499,107,Likelihood-Based EWMA Charts for Monitoring Poisson Count Data With Time-Varying Sample Sizes,"Qin Zhou, Changliang Zou, Zhaojun Wang & Wei Jiang",703,25
499,107,Pair Copula Constructions for Multivariate Discrete Data,"Anastasios Panagiotelis, Claudia Czado & Harry Joe",1451,37
499,107,The Hybrid Wild Bootstrap for Time Series,Jens-peter Kreiss & Efstathios Paparoditis,578,6
499,107,Nonparametric Construction of Multivariate Kernels,Victor M. Panaretos & Kjell Konis,670,3
499,107,Inference on the Order of a Normal Mixture,"Jiahua Chen, Pengfei Li & Yuejiao Fu",972,10
499,107,Estimating Individualized Treatment Rules Using Outcome Weighted Learning,"Yingqi Zhao, Donglin Zeng, A. John Rush & Michael R. Kosorok",1631,106
499,107,A Consistent Adjacency Spectral Embedding for Stochastic Blockmodel Graphs,"Daniel L. Sussman, Minh Tang, Donniell E. Fishkind & Carey E. Priebe",590,22
499,107,Feature Screening via Distance Correlation Learning,"Runze Li, Wei Zhong & Liping Zhu",1569,95
499,107,Optimal Designs for Quantile Regression Models,Holger Dette & Matthias Trampisch,743,2
499,107,Statistical Modeling of Curves Using Shapes and Related Features,"Sebastian Kurtek, Anuj Srivastava, Eric Klassen & Zhaohua Ding",541,32
499,107,Deconvolution When Classifying Noisy Data Involving Transformations,"Raymond Carroll, Aurore Delaigle & Peter Hall",324,1
