Issue,Volume,title,authors,views,citations
252,45,Who are the Unemployed?,Philip M. Hauser & Robert B. Pearl,11,0
252,45,Some Sampling Simplified,John W. Tukey,23,5
252,45,The Effectiveness of Quality Control Charts,Leo A. Aroian & Howard Levene,21,11
252,45,Two-Choice Selection,Irwin Bross,11,2
252,45,Operations Analysis and the Theory of Games: An Advertising Example,Leonard Gillman,11,3
252,45,Design of Experiments for Most Precise Slope Estimation or Linear Extrapolation,Cuthbert Daniel & Nicholas Heerema,17,10
252,45,Sequential Sampling from Finite Lots When the Proportion Defective is Small,J. H. Chung,13,0
252,45,Correction to “Some New Aspects of the Application of Maximum Likelihood to the Calculation of the Dosage Response Curve”,Jerome Cornfield & Nathan Mantel,11,0
252,45,Book Reviews,,8,0
252,45,Publications Received,,8,0
251,45,Pitfalls in Population Forecasts and Projections,Harold F. Dorn,15,18
251,45,The Population of the World in the Year 2000,Frank W. Notestein,17,8
251,45,Population and Resources: Discussion of Papers by Frank W. Notestein and P. V. Cardon,Joseph S. Davis,10,1
251,45,Controlled Selection—A Technique in Probability Sampling,Roe Goodman & Leslie Kish,42,13
251,45,A Technique for Analyzing Some Factors Affecting the Incidence of Syphilis,"B. G. Greenberg Ph.D., John J. Wright M.D., M.P.H. & Cecil G. Sheps M.D., M.P.H.",14,7
251,45,Labor-Force Participation and Employment Opportunities for Women,Nedra Bartlett Belloc,42,0
251,45,Estimating Parameters of Pearson Type Iii Populations from Truncated Samples,A. C. Cohen Jr.,27,6
251,45,Response Errors in Census Research,Eli S. Marks & W. Parker Mauldin,11,4
251,45,"A Note on the Derivation of Income Estimates by Source of Income of Persons Making Less Than $500 Per Annum, 1944–1948",Ulric H. Weil,10,0
251,45,Estimating Precision of Measuring Instruments,H. Fairfield Smith,12,6
251,45,"Horatio Milo Pollock, 1868–1950",Benjamin Malzberg,10,0
251,45,Book Reviews,,8,0
251,45,Briefer Notices,,8,0
251,45,Publications Received,,8,0
250,45,A Technique for Making Extensive Population Estimates,Donald J. Bogue,13,13
250,45,Are there Two Regressions?,"Joseph Berkson M.D., D.Sc.",68,140
250,45,Some New Aspects of the Application of Maximum Likelihood to the Calculation of the Dosage Response Curve,Jerome Cornfield & Nathan Mantel,17,37
250,45,Probability Values for the Common Tests of Hypotheses*,T. A. Bancroft,12,0
250,45,On the Measurement of the Productivity of Labor,Sigmund P. Zobel,11,0
250,45,Large Sample Tests and Confidence Intervals for Mortality Rates,John E. Walsh,9,2
250,45,Statistical Decisions by the Method of Minimum Risk: An Application,R. Clay Sprowls,16,1
250,45,Interference with a Controlled Process,Preston C. Hammer,10,0
250,45,Sample Size Required for Estimating the Standard Deviation as a Per Cent of its True Value,Joseph A. Greenwood & Marion M. Sandomire,31,9
250,45,Estimating Birth Registration Completeness,Sam Shapiro,11,2
250,45,The Degree of Stereotypy,John E. Freund,9,3
250,45,"Proceedings: American Statistical Association 109th Annual Meeting Hotel Biltmore, New York, New York Minutes of the Annual Business Meeting",,8,0
250,45,Book Reviews,,8,0
250,45,Erratum,,8,0
250,45,Publications Received,,8,0
249,45,Conditions of Statistical Research,Simon Kuznets,12,1
249,45,"Index of the Physical Volume Production of Minerals, 1880–1948",Y. S. Leong,9,0
249,45,On the Use of the County as the Primary Sampling Unit for State Estimates,Lillian H. Madow,10,2
249,45,International Organizations and Soviet Statistics,Naum Jasny,12,0
249,45,The Quantification of Qualitative Data in Discriminant Analysis,Palmer O. Johnson,10,8
249,45,The Choice of the Number and Width of Classes for the Chi-Square Test of Goodness of Fit,C. Arthur Williams Jr.,22,16
249,45,Simplified Procedures for Fitting a Gompertz Curve and a Modified Exponential Curve,Jack Sherman & Winifred J. Morrison,19,2
249,45,Bias Due to Non-Availability in Sampling Surveys,Z. W. Birnbaum & Monroe G. Sirken,13,11
249,45,Correction to “on the Best Choice of Sample Sizes for a t-Test When the Ratio of Variances is Known”,John E. Walsh,11,0
249,45,An Application of Scaling to Questionnaire Construction,Charles A. Metzner,13,0
249,45,A Note on P. K. Whelpton's Calculation of Parity Adjusted Reproduction Rates,P. H. Karmel,10,0
249,45,Comments on Mr. Karmel's Note,P. K. Whelpton,10,0
249,45,Note on “An Attempt to Get the Not-at-Homes into the Sample Without Callbacks”,Alfred Politz & Willard Simmons,9,2
249,45,"Alfred James Lotka, 1880–1949",Louis I. Dublin,14,2
249,45,Book Reviews,,12,0
249,45,Erratum,,12,0
249,45,Publications Received,,10,0
248,44,Statistics of the Kinsey Report,W. Allen Wallis,16,5
248,44,The City Block as a Unit for Recording and Analyzing Urban Data,Edward B. Olds,9,1
248,44,The Relation of the Net Reproduction Rate to Other Fertility Measures,T. J. Woofter,12,2
248,44,On Estimating the Mean and Standard Deviation of Truncated Normal Distributions,A. C. Cohen Jr.,41,20
248,44,On Some Mathematical Problems Arising in the Development of Mendelian Genetics,Hilda Geiringer,12,6
248,44,The Fitting of Logistic Curves by Means of a Nomograph,Eugene A. Rasor,9,1
248,44,On the Best Choice of Sample Sizes for a t-Test when the Ratio of Variances is Known,John E. Walsh,11,1
248,44,Note on Some Errors in “The Evidence of Periodicity in Short Time Series”,Armen A. Alchian & Truman L. Kelley,12,0
248,44,William Lane Austin (1871–1949) James Clyde Capt (1888–1949),Stuart A. Rice,10,0
248,44,Book Reviews,,8,0
247,44,The Monte Carlo Method,Nicholas Metropolis & S. Ulam,583,1020
247,44,Applications of Some Significance Tests for the Median Which are Valid Under Very General Conditions,John E. Walsh,15,10
247,44,A Sampling Study of the Merits of Auto-Regressive and Reduced form Transformations in Regression Analysis,Guy H. Orcutt & Donald Cochrane,14,17
247,44,Control of a General Census by Means of an Area Sampling Method,Gabriel Chevry,10,1
247,44,A Procedure for Objective Respondent Selection within the Household,Leslie Kish,52,310
247,44,Beneficiary Statistics under the Old-Age and Survivors Insurance Program and Some Possible Demographic Studies Based on These Data,Robert J. Myers,9,0
247,44,By-Product Data and Forecasting in Unemployment Insurance,Nathan Morrison,11,0
247,44,Statistical Requirements for Economic Mobilization,Ralph J. Watkins,9,0
247,44,"The War Production Board's Statistical Reporting Experience, V and VI",David Novick & George A. Steiner,10,0
247,44,Book Reviews,,9,0
247,44,Letters about Books,,8,0
246,44,The Current Status of State and Local Population Estimates in the Census Bureau,Henry S. Shryock Jr. & Norman Lawrence,13,1
246,44,The Uses and Usefulness of Binomial Probability Paper,Frederick Mosteller & John W. Tukey,101,36
246,44,Teaching Statistical Quality Control for Town and Gown,Edwin G. Olds & Lloyd A. Knowler,42,3
246,44,The Use of Sampling in Great Britain,C. A. Moser,22,1
246,44,Unemployment and Migration in the Depression (1930–1935),Ronald Freedman & Amos H. Hawley,62,0
246,44,"Minimum X2 and Maximum Likelihood Solution in Terms of a Linear Transform, with Particular Reference to Bio-Assay",Joseph Berkson M.D.,26,4
246,44,Some Inadequacies of the Federal Censuses of Agriculture,Raymond J. Jessen,11,0
246,44,The Edge Marking of Statistical Cards,A. M. Lester,15,0
246,44,Conrad Alexander Verrijn Stuart (1865–1948),Walter F. Willcox,10,0
246,44,"Proceedings of the 108th Annual Meeting, Hotel Statler, Cleveland, Ohio",,10,0
246,44,Book Reviews,,17,0
245,44,On a Unique Feature of Statistics,George W. Snedecor,12,0
245,44,An Attempt to Get the “Not at Homes” into the Sample Without Callbacks,Alfred Politz & Willard Simmons,27,9
245,44,Further Theoretical Considerations Regarding the Plan for Eliminating Callbacks,,10,0
245,44,Application of Least Squares Regression to Relationships Containing Auto-Correlated Error Terms,D. Cochrane & G. H. Orcutt,114,93
245,44,AOQL Single Sampling Plans from a Single Chart and Table,Donald J. Greb & Julio N. Berrettoni,20,0
245,44,On Measuring Languages,Stuart C. Dodd Ph.D.,9,0
245,44,Confidence Limits in the Non-Parametric Case,Gottfried E. Noether,9,1
245,44,On a Method of Estimating Birth and Death Rates and the Extent of Registration,C. Chandra Sekar & W. Edwards Deming,50,88
245,44,Evaluation of Parameters in the Gompertz and Makeham Equations,J. F. Brennan,13,2
245,44,On the “Information” Lost by Using a t-Test when the Population Variance is Known,John E. Walsh,11,2
245,44,"Wesley Clair Mitchell, 1874–1948, an Appreciation",Simon Kuznets,10,0
245,44,Book Reviews,,11,0
244,43,Commercial Uses of Sampling,J. Stevens Stock & Joseph R. Hochstim,13,0
244,43,Variation of the Frequency of Fatal Quarrels with Magnitude,Lewis F. Richardson,24,51
244,43,Bank Reserves and Business Fluctuations,Clark Warburton,9,0
244,43,The Ordering of n Items Assigned to k Rank Categories by Votes of m Individuals,Garret L. Schuyler,10,0
244,43,Levels of Significance for Variance Ratio of Two Samples of Equal Size,C. J. Kirchen,8,0
244,43,"Corrections to article published in Volume 43, No. 242, June 1948: On Estimating Precision of Measuring Instruments and Products Variability",Frank E. Grubbs,11,0
244,43,Main Effects and Interactions,D. J. Finney,12,10
244,43,A Test for Symmetry in Contingency Tables,Albert H. Bowker,41,189
244,43,The War Production Board's Statistical Reporting Experience,David Novick & George A. Steiner,9,0
244,43,Book Reviews,,8,0
243,43,Significance of Inventories in the Current Economic Situation,Louis J. Paradiso,11,0
243,43,Measuring Physical Inventories,Weir M. Brown,14,0
243,43,On the Determination of Sample Sizes in Designing Experiments,"Marilyn Harris, D. G. Horvitz & A. M. Mood",19,20
243,43,Application of the Theory of Extreme Values in Fracture Problems,Benjamin Epstein,21,24
243,43,Problems with Sampling Procedures for Reserve Valuations,George C. Campbell,10,1
243,43,Recent Developments in Graduation and Interpolation,Thomas N. E. Greville,11,4
243,43,Sampling Errors in Mortality and Other Statistics in Life Insurance,Donald D. Cody,13,0
